Dateoffund,StartupName,IndustryVertical,CityLocation,AmountinUSD
12/20/2019,Lenskart.com,E-Commerce,Faridabad,231000000
12/17/2019,Healthians,B2B-focused foodtech startup,Bengaluru,12000000
12/16/2019,Licious,E-Commerce,Bengaluru,30000000
12/16/2019,InCred,Finance,Mumbai,5900000
12/14/2019,Trell,Video,Bengaluru,2000000
12/13/2019,Rivigo,Technology,Gurgaon,20000000
12/12/2019,Ecozen,Technology,Pune,6000000
12/11/2019,Rein Games,Gaming,Noida,50000000
12/6/2019,CarDekho,E-Commerce,Gurgaon,70000000
12/3/2019,Dhruva Space,Aerospace,Bengaluru,50000000
11/25/2019,Paytm,FinTech,Noida,1000000000
11/20/2019,Aye Finance,FinTech,Gurgaon,17411265
11/20/2019,Clumio,SaaS,"San Jose,",135000000
11/19/2019,Digital Mall Asia,E-Commerce,Delhi,220000000
11/19/2019,Furtados School of Music,Education,Tulangan,200000000
11/18/2019,Healthians,Health and Wellness,Gurgaon,12000000
11/18/2019,Medikabazaar,Healthcare,Mumbai,15800000
11/15/2019,Ninjacart,B2B Marketing,Bengaluru,26000000
11/15/2019,Vogo Automotive,Last Mile Transportation,Kormangala,283000000
11/14/2019,Misters,Health and wellness,Gurgaon,486000
11/13/2019,Freshworks,Software,San Francisco,150000000
11/13/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,1500000
11/12/2019,SuperGaming,Video Games,Pune,1300000
11/11/2019,eBikeGo,Last Mile Transportation,Amritsar,300000
10/4/2019,Dunzo,Customer Service,Bengaluru,45000000
10/2/2019,Udaan,B2B,Bengaluru,585000000
9/5/2019,FPL Technologies,FinTech,Pune,4500000
9/4/2019,Cashflo,FinTech,Mumbai,3300000
9/4/2019,Digital F5,"Advertising, Marketing",Mumbai,6000000
9/4/2019,3rdFlix,SaaS,Hyderabad,5000000
9/4/2019,75F,IoT,Burnsville,18000000
9/4/2019,Myelin Foundry,Information Technology,Bengaluru,1000000
9/4/2019,Atomberg Technology,Consumer Technology,Mumbai,10000000
9/4/2019,GOQii,Health and Wellness,Menlo Park,450000000
9/3/2019,Vyapar App,Accounting,Bengaluru,5000000
8/27/2019,Rapido Bike Taxi,Transportation,Bengaluru,3900000000
8/23/2019,Zendrive,Automotive,San Francisco,37000000
8/23/2019,Lo! Foods,Consumer Goods,Bengaluru,500000
8/23/2019,Tala,FinTech,Santa Monica,110000000
8/23/2019,AdmitKard,EdTech,Noida,1000000
8/22/2019,INDwealth,FinTech,Gurgaon,15000000
8/21/2019,HungerBox,Food and Beverage,Bengaluru,6590000
8/19/2019,Grofers,E-Commerce,Gurgaon,70000000
8/13/2019,Cars24,E-Commerce,Gurugram,11000000
8/13/2019,Uniphore,Customer Service Platform,Palo Alto,51000000
8/12/2019,Meesho,E-Commerce,Bengaluru,125000000
8/1/2019,CarDekho,E-Commerce,Gurgaon,20000000
8/1/2019,Progcap,Finance,New Delhi,5000000
8/1/2019,MyPetrolPump,Retail,Bengaluru,1600000
8/1/2019,Alteria Capital,Finance,Mumbai,140000000
